Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
934739;Belle Vue Maurel;Belle Vue Maurel;Belle Vue,Belle Vue Maurel;P;PPL;MU;Mauritius;;19;;;;7607;;108;Indian/Mauritius;2025-07-01;Mauritius;-20.12028, 57.66361
1282027;Male;Male;MLE,Maale,Male,Malé,Malė,ma lei,ma lu,male,malle,mare,Μαλέ,Мале,מאלה,މާލެ,माले,মালে,மாலே,มาเล,มาเล่,マレ,瑪律,馬累,马累,말레;P;PPLC;MV;Maldives;;38;;;;103693;;8;Indian/Maldives;2025-08-06;Maldives;4.17521, 73.50916
1337609;Viligili;Viligili;Viligili,Villingili;P;PPLA;MV;Maldives;;34;;;;2925;;5;Indian/Maldives;2013-07-04;Maldives;0.75906, 73.43296
7932385;Piton Saint-Leu;Piton Saint-Leu;;P;PPLL;RE;Réunion;;RE;974;9744;97413;29278;350;294;Indian/Reunion;2016-06-22;Réunion;-21.21962, 55.31513
1090248;Tsoundzou 1;Tsoundzou 1;Trotrondjeou,Trotrondjéou,Tsoundzou 1;P;PPL;YT;;;97611;;;;5570;;50;Indian/Mayotte;2024-01-29;;-12.80615, 45.2023
1090314;Kahani;Kahani;;P;PPL;YT;;;97614;;;;3073;;121;Indian/Mayotte;2024-01-29;;-12.82385, 45.13141
1090397;Bandrele;Bandrele;Bandrele,Bandrélé;P;PPLA;YT;;;97603;;;;6350;;14;Indian/Mayotte;2024-08-25;;-12.91276, 45.19256
921721;Ouani;Ouani;AJN,Oani,Ouani,Ouany,Owani,awany,wani,Ուանի,أواني,اوانى,ワニ;P;PPL;KM;Comoros;;01;;;;10073;;18;Indian/Comoro;2023-11-29;Comoros;-12.13554, 44.42493
921763;Mramani;Mramani;M'Ramoni,Mramani,M’Ramoni,muramani,Мрамани,Մրամանի,ムラマニ;P;PPL;KM;Comoros;;01;;;;5126;;83;Indian/Comoro;2025-11-15;Comoros;-12.34639, 44.52861
1058242;Nandihizana;Nandihizana;Carion,Nandihizana;P;PPL;MG;Madagascar;;11;11106;11106170;11106170003;5000;;1365;Indian/Antananarivo;2018-09-10;Madagascar;-18.9, 47.71667
1063368;Kopoky;Kopoky;;P;PPL;MG;Madagascar;;52;52513;52513050;52513050011;15000;;127;Indian/Antananarivo;2018-09-10;Madagascar;-25.2, 45.2
1066514;Betafo;Betafo;Betafo,bei ta fu,btafw,bytafw,Бетафо,بتافو,بيتافو,贝塔富;P;PPL;MG;Madagascar;;12;12109;12109010;12109010006;36364;;1371;Indian/Antananarivo;2023-12-21;Madagascar;-19.83333, 46.85
1080522;Ambohidratrimo;Ambohidratrimo;Ambohidratimo,Ambohidratrimo;P;PPL;MG;Madagascar;;11;11103;11103010;11103010006;25163;;1271;Indian/Antananarivo;2023-12-21;Madagascar;-18.818, 47.43382
1083968;Ambalavao;Ambalavao;Ambalava,Ambalavao;P;PPL;MG;Madagascar;;21;21205;21205010;21205010014;45784;;1009;Indian/Antananarivo;2023-12-21;Madagascar;-21.83333, 46.93333
933974;Terre Rouge;Terre Rouge;Terre Rouge;P;PPL;MU;Mauritius;;16;;;;11210;;44;Indian/Mauritius;2024-01-18;Mauritius;-20.1283, 57.53116
934144;Poudre d’Or;Poudre d'Or;Poudre D'Or Village,Poudre D’Or Village,Poudre d'Or,Poudre d’Or;P;PPL;MU;Mauritius;;19;;;;2373;;16;Indian/Mauritius;2024-01-18;Mauritius;-20.06, 57.67667
934705;Bois des Amourettes;Bois des Amourettes;Bois des Amourettes;P;PPL;MU;Mauritius;;14;;;;1986;;182;Indian/Mauritius;2018-12-05;Mauritius;-20.36306, 57.73111
934750;Bel Air Rivière Sèche;Bel Air Riviere Seche;Bel Air,Bel Air Riviere Seche,Bel Air Rivière Sèche,bei lai er,בל אייר,ベル・エア・リビエール・セシェ,贝莱尔;P;PPL;MU;Mauritius;;13;;;;18036;;78;Indian/Mauritius;2024-01-18;Mauritius;-20.25777, 57.74976
921674;Singani;Singani;Singani;P;PPL;KM;Comoros;;02;;;;2309;;126;Indian/Comoro;2018-11-26;Comoros;-11.84784, 43.31731
921719;Ouellah;Ouellah;;P;PPL;KM;Comoros;;02;;;;5478;;140;Indian/Comoro;2017-08-09;Comoros;-11.39028, 43.33194
921731;Ntsaouéni;Ntsaoueni;Mitsaoueni,Mtsaoueni,Ntsaoueni,Ntsaouéni,Tsaueni;P;PPL;KM;Comoros;;02;;;;2760;;26;Indian/Comoro;2023-11-29;Comoros;-11.46583, 43.26278
1091436;Daji;Daji;Daji;P;PPL;KM;Comoros;;01;;;;2676;;562;Indian/Comoro;2014-04-06;Comoros;-12.32583, 44.48861
1061412;Mananara;Mananara;Mananara,Mananara Avaratra,WMR;P;PPL;MG;Madagascar;;32;32304;32304011;32304011001;37224;;15;Indian/Antananarivo;2023-12-21;Madagascar;-16.16864, 49.76622
933959;Triolet;Triolet;Triolet,Триолет;P;PPL;MU;Mauritius;;16;;;;24361;;34;Indian/Mauritius;2024-01-18;Mauritius;-20.0576, 57.55025
934169;Plaine Magnien;Plaine Magnien;Plaine Magnien,Plaines Magnien;P;PPL;MU;Mauritius;;14;;;;10778;;67;Indian/Mauritius;2014-08-18;Mauritius;-20.42967, 57.66968
934170;Plaine des Papayes;Plaine des Papayes;Plaine des Papayes,Plaines des Papayes;P;PPL;MU;Mauritius;;16;;;;7925;;68;Indian/Mauritius;2024-01-18;Mauritius;-20.065, 57.5725
934661;Camp de Masque;Camp de Masque;Camp de Masque,Camp de Masque Station;P;PPL;MU;Mauritius;;13;;;;2721;;176;Indian/Mauritius;2025-01-20;Mauritius;-20.236, 57.676
