Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2633274;Akureyri;Akureyri;AEY,Agireiri,Akirejri,Akjurehjry,Akjurejri,Akourefri,Akuereyri,Akureiris,Akurejri,Akureyrar,Akureyrarbaer,Akureyrarbær,Akureyri,Aküreyri,a ke lei li,akuleili,akureiri,akwryry,Άκουρεϋρι,Акирејри,Акурейрі,Акюрейри,Акюрэйры,Աքուրեյրի,אקוריירי,أكوريري,აკურეირი,アークレイリ,阿克雷里,아쿠레이리;P;PPLA;IS;Iceland;;40;6000;;;19219;;-9999;Atlantic/Reykjavik;2024-07-10;Iceland;65.68353, -18.0878
13353870;Southampton Parish;Southampton Parish;;P;PPLL;BM;Bermuda;;10;;;;6633;;1;Atlantic/Bermuda;2025-06-02;Bermuda;32.25164, -64.85474
2513026;Pájara;Pajara;Pajara,Pájara;P;PPLA3;ES;Spain;;53;GC;35015;;20821;;213;Atlantic/Canary;2019-09-16;Spain;28.35039, -14.1076
2513476;Moya;Moya;Moya;P;PPLA3;ES;Spain;;53;GC;35013;;7492;;487;Atlantic/Canary;2019-02-18;Spain;28.11106, -15.58285
2517350;Garachico;Garachico;Garachico,Garachiko,Garachiro,Гарачико;P;PPLA3;ES;Spain;;53;TF;38015;;6000;;19;Atlantic/Canary;2012-03-04;Spain;28.37365, -16.76342
2519217;Corralejo;Corralejo;Corralejo,Koral'ekho,QFU,ke la lai huo,korarehho,Коральехо,コラレッホ,科拉莱霍;P;PPL;ES;Spain;;53;GC;35014;;13618;;14;Atlantic/Canary;2014-03-11;Spain;28.73079, -13.86749
3370903;Jamestown;Jamestown;Ceymstaun,Dzeimstauna,Dzeimstaunas,Dzejmstaun,Dzhehjmstaun,Dzhejmstaun,Džeimstauna,Džeimstaunas,HLE,Iacobopolis,Jamestauno,Jamestown,Tzeimstaoun,Zhejmstaun,cems thawn,jeimseutaun,jemsata'una,jemstavun,jemuzutaun,jyms tawn,jymz ٹawn  synٹ ہlyna,jymztawn  synt hlyna,zhan mu si dui,Ĵamestaŭno,Τζέιμσταουν,Џејмстаун,Джеймстаун,Джэймстаўн,Жеймстаун,גיימסטאון,דזשיימסטאן,جيمس تاون,جیمز ٹاون، سینٹ ہلینا,جیمزتاون، سینت هلینا,جیمزٹاؤن,جەیمستاون,जेम्सटाउन,ஜேம்ஸ்டவுன்,เจมส์ทาวน์,ჯეიმზტაუნი,ジェームズタウン,詹姆斯敦,제임스타운;P;PPLC;SH;Saint Helena;;02;;;;637;10;256;Atlantic/St_Helena;2024-03-04;Saint Helena;-15.92488, -5.71816
2509617;Vilaflor;Vilaflor;Vilaflor,Villaflor;P;PPLA3;ES;Spain;;53;TF;38052;;1981;;1364;Atlantic/Canary;2012-03-04;Spain;28.15623, -16.63592
2509841;Valverde;Valverde;VDE,Val'verde,Valverde del Hierro,Вальверде;P;PPLA3;ES;Spain;;53;TF;38048;;5000;;603;Atlantic/Canary;2023-02-19;Spain;27.80628, -17.91578
2511202;Santa Brígida;Santa Brigida;Santa Brigida,Santa Brígida;P;PPLA3;ES;Spain;;53;GC;35021;;18314;;499;Atlantic/Canary;2025-07-29;Spain;28.03197, -15.50425
2511327;San Juan de la Rambla;San Juan de la Rambla;Juan de Rambla,San Juan de Rambla,San Juan de la Rambla;P;PPL;ES;Spain;;53;TF;38034;;5007;;99;Atlantic/Canary;2022-11-28;Spain;28.39276, -16.65015
2520283;Candelaria;Candelaria;Cancelaria,Candelaria,Kandelaria,Kandelarii,Kandelarija,kan de la li ya,kanderaria,kandylarya  santa krwth dy tynyryfh,Κανδελάρια,Канделарии,Канделария,Канделарія,קאנדלאריה,كانديلاريا، سانتا كروث دي تينيريفه,カンデラリア,坎德拉里亚;P;PPLA3;ES;Spain;;53;TF;38011;;24319;;36;Atlantic/Canary;2012-03-04;Spain;28.3548, -16.37268
2521521;Artenara;Artenara;Artenara;P;PPLA3;ES;Spain;;53;GC;35005;;1565;;1235;Atlantic/Canary;2012-03-04;Spain;28.02055, -15.64693
2263432;Santo António;Santo Antonio;Santo Antonio,Santo António;P;PPL;PT;Portugal;;10;3103;310305;;25940;;234;Atlantic/Madeira;2024-03-29;Portugal;32.66138, -16.93482
2268382;Fajã da Ovelha;Faja da Ovelha;Faia da Ovelha,Faja da Ovelha,Fajã da Ovelha,Fazhan-da-Ovel'ja,Фажан-да-Овелья;P;PPL;PT;Portugal;;10;3101;310104;;1016;;480;Atlantic/Madeira;2011-09-04;Portugal;32.77457, -17.23412
3372472;Vila Franca do Campo;Vila Franca do Campo;Vila Franca do Campo,Villa Franca do Campo;P;PPL;PT;Portugal;;23;4206;420604;;5035;;11;Atlantic/Azores;2022-02-25;Portugal;37.71603, -25.43225
3372701;Ribeira Seca;Ribeira Seca;Ribeira Seca;P;PPL;PT;Portugal;;23;4206;420606;;1106;;61;Atlantic/Azores;2023-09-28;Portugal;37.722, -25.41791
3373070;Feteira;Feteira;Feteira,Fetejra,Фетейра;P;PPL;PT;Portugal;;23;4301;430108;;1239;;167;Atlantic/Azores;2018-03-01;Portugal;38.65429, -27.14995
2629833;Norðurþing;Nordurthing;HZK,Husavik,Husavikur,Husayik,Húsavík,Húsavíkur,Khusavik,Nordurthing,Norðurþing,Хусавик;P;PPL;IS;Iceland;;40;6100;;;2228;;58;Atlantic/Reykjavik;2020-09-18;Iceland;66.04148, -17.33834
3415496;Keflavík;Keflavik;Keblavik,Keblavikas,Keflavik,Keflavika,Keflavikur,Keflavík,Keflavíkur,Keflavīka,Kephlabik,Keplavik,kai fu la wei ke,kepeullabikeu,kepuravuiku,kyflafyk,Κεφλαβίκ,Кеблавик,Кеплавик,Кеплавік,Кефлавик,Кефлавік,Կեֆլավիկ,קפלאוויק,كيفلافيك,კებლავიკი,ケプラヴィーク,凯夫拉维克,케플라비크;P;PPLA;IS;Iceland;;43;2000;;;15930;;5;Atlantic/Reykjavik;2023-02-09;Iceland;64.00492, -22.56242
2615132;Porkeri;Porkeri;Porkere,Porkeri;P;PPLA2;FO;Faeroe Islands;;SU;48;;;396;;-9999;Atlantic/Faroe;2020-02-12;Faeroe Islands;61.48135, -6.74497
2624653;Argir;Argir;Ardzhir,Arge,Argir,Argiras,Arnkir,a ji er,Άργκιρ,Аргир,Арджир,阿吉爾;P;PPL;FO;Faeroe Islands;;ST;29;;;2504;;75;Atlantic/Faroe;2023-01-03;Faeroe Islands;61.99595, -6.77154
2268418;Estreito de Câmara de Lobos;Estreito de Camara de Lobos;Estreito de Camara de Lobos,Estreito de Câmara de Lobos;P;PPL;PT;Portugal;;10;3102;310201;;9348;;408;Atlantic/Madeira;2024-03-29;Portugal;32.6612, -17.00014
3415667;Ísafjörður;Isafjoerdur;IFJ,Isaf'ordjur,Isafijordur,Isafiordour,Isafiordr,Isafirdi,Isafjardar,Isafjardardjup,Isafjerdir,Isafjoerd,Isafjoerdur,Isafjorduer,Isafjordur,Isafjorduras,Isafjordür,Isafyorduer,Issafjordur,Issafjörður,aysafjrwyr,aysafywrdr,isafiyoruzuuru,isapioeleudwileu,isapiorduri,yi sa fei e ze,Ísafirði,Ísafjardardjup,Ísafjarðar,Ísafjörð,Ísafjörður,İsafyordür,Ίσαφιορδουρ,Ісафьордюр,Ісафіёрдур,Исафьордюр,Исафјердир,איסאפיירדור,ایسافجرویر,ایسافیوردر,ისაფიორდური,イーサフィヨルズゥル,伊萨菲厄泽,이사피외르뒤르;P;PPLA;IS;Iceland;;44;4200;;;2736;;1;Atlantic/Reykjavik;2025-03-18;Iceland;66.07475, -23.13498
2510582;Tazacorte;Tazacorte;Tasakorte,Tazacorte,Villa y Puerto de Tazacorte,ta sa ke er te,tathakwrty,Тасакорте,تاثاكورتي,塔萨科尔特;P;PPLA3;ES;Spain;;53;TF;38045;;5670;;111;Atlantic/Canary;2017-12-27;Spain;28.64186, -17.93394
